timestamp,simple-path,time
"2022-06-03 16:29:29.713","/master/welcome",7459
"2022-06-03 16:29:30.85","/master/welcome",1047
"2022-06-03 16:29:34.433","/master/sign-in",2970
"2022-06-03 16:29:35.735","/master/welcome",586
"2022-06-03 16:29:37.542","/inventor/dertim/list-mine",1641
"2022-06-03 16:29:40.136","/inventor/dertim/create",2360
"2022-06-03 16:29:42.427","/inventor/dertim/create",555
"2022-06-03 16:29:42.961","/master/welcome",471
"2022-06-03 16:29:43.591","/master/welcome",565
"2022-06-03 16:29:46.087","/master/welcome",393
"2022-06-03 16:29:46.498","/master/welcome",377
"2022-06-03 16:29:47.107","/master/sign-in",551
"2022-06-03 16:29:48.375","/master/welcome",552
"2022-06-03 16:29:49.101","/inventor/dertim/list-mine",578
"2022-06-03 16:29:50.343","/inventor/dertim/create",567
"2022-06-03 16:29:52.905","/inventor/dertim/create",597
"2022-06-03 16:29:53.413","/master/welcome",444
"2022-06-03 16:29:54.036","/master/welcome",565
"2022-06-03 16:29:56.582","/master/welcome",463
"2022-06-03 16:29:56.954","/master/welcome",347
"2022-06-03 16:29:57.572","/master/sign-in",554
"2022-06-03 16:29:58.874","/master/welcome",580
